GID,SIFRA_KO,BROJ,POVRSINA
"505","316580",141/1,642.000000000000000
"506","316580",347/3,155.000000000000000
"507","316580",350/2,196.000000000000000
"508","316580",154/1,6109.000000000000000
"509","316580",144/10,8.000000000000000
"510","316580",144/5,239.000000000000000
"511","316580",134/4,50.000000000000000
"512","316580",373/1,11660.000000000000000
"513","316580",372/3,99.000000000000000
"514","316580","166",3080.000000000000000
"515","316580",298/1,2787.000000000000000
"516","316580",426/2,1345.000000000000000
"517","316580",427/2,1059.000000000000000
"518","316580",452/1,2318.000000000000000
"519","316580",451/2,4994.000000000000000
"520","316580",445/2,913.000000000000000
"521","316580",443/1,996.000000000000000
"522","316580","447",9792.000000000000000
"523","316580",445/1,2048.000000000000000
"524","316580",457/1,999.000000000000000
"525","316580",456/7,857.000000000000000
"526","316580",458/2,1794.000000000000000
"527","316580","442",48052.000000000000000
"528","316580",443/6,1263.000000000000000
"529","316580","439",7764.000000000000000
"530","316580",458/1,908.000000000000000
"531","316580","466",579.000000000000000
"532","316580","465",19313.000000000000000
"533","316580","464",29812.000000000000000
"534","316580","478",303.000000000000000
"535","316580",479/2,889.000000000000000
"536","316580","482",2165.000000000000000
"537","316580","481",191.000000000000000
"538","316580",480/2,148.000000000000000
"539","316580",491/3,635.000000000000000
"540","316580",491/4,448.000000000000000
"541","316580","490",3880.000000000000000
"542","316580",491/2,748.000000000000000
"543","316580","488",569.000000000000000
"544","316580","489",1920.000000000000000
"545","316580",529/2,1005.000000000000000
"546","316580",529/1,4707.000000000000000
"547","316580",520/2,1069.000000000000000
"548","316580",521/1,1871.000000000000000
"549","316580",533/2,692.000000000000000
"550","316580",532/2,778.000000000000000
"551","316580","535",9659.000000000000000
"552","316580",499/2,975.000000000000000
"553","316580",499/3,706.000000000000000
"554","316580",480/3,180.000000000000000
"555","316580","485",20882.000000000000000
"556","316580",491/1,155.000000000000000
"557","316580","1186",4706.000000000000000
"558","316580",480/1,496.000000000000000
"559","316580","459",5697.000000000000000
"560","316580","460",1479.000000000000000
"561","316580","461",25400.000000000000000
"562","316580",1180/1,11935.000000000000000
"563","316580",458/3,745.000000000000000
"564","316580",452/2,860.000000000000000
"565","316580",450/2,1976.000000000000000
"566","316580","449",267.000000000000000
"567","316580",425/2,2091.000000000000000
"568","316580",456/2,895.000000000000000
"569","316580",456/5,1015.000000000000000
"570","316580",456/3,898.000000000000000
"571","316580",456/4,934.000000000000000
"572","316580","448",1734.000000000000000
"573","316580",451/3,1792.000000000000000
"574","316580",425/4,513.000000000000000
"575","316580","453",9767.000000000000000
"576","316580",456/1,3398.000000000000000
"577","316580",456/6,1082.000000000000000
"578","316580",457/2,953.000000000000000
"579","316580",426/3,789.000000000000000
"580","316580",427/3,195.000000000000000
"581","316580",427/1,5023.000000000000000
"582","316580",451/1,1228.000000000000000
"583","316580",450/1,980.000000000000000
"584","316580",426/1,834.000000000000000
"585","316580",444/2,1435.000000000000000
"586","316580",444/3,1483.000000000000000
"587","316580",444/1,1247.000000000000000
"588","316580",429/2,1059.000000000000000
"589","316580","428",1109.000000000000000
"590","316580",429/3,294.000000000000000
"591","316580",444/4,1497.000000000000000
"592","316580","1181",1308.000000000000000
"593","316580",444/5,1797.000000000000000
"594","316580","455",9850.000000000000000
"595","316580","454",10070.000000000000000
"596","316580",443/4,644.000000000000000
"597","316580",443/2,515.000000000000000
"598","316580",443/3,1022.000000000000000
"599","316580",443/8,629.000000000000000
"600","316580",443/7,813.000000000000000
"601","316580",443/5,345.000000000000000
"602","316580","1007",1170.000000000000000
"603","316580","1013",84.000000000000000
"604","316580",1014/1,13485.000000000000000
"605","316580","545",820.000000000000000
"606","316580","544",797.000000000000000
"607","316580","546",601.000000000000000
"608","316580","547",832.000000000000000
"609","316580","540",2008.000000000000000
"610","316580","539",76.000000000000000
"611","316580","538",999.000000000000000
"612","316580","1169",4192.000000000000000
"613","316580","550",4874.000000000000000
"614","316580","536",7572.000000000000000
"615","316580",520/6,448.000000000000000
"616","316580",534/2,150.000000000000000
"617","316580",534/1,7763.000000000000000
"618","316580","516",3481.000000000000000
"619","316580","512",526.000000000000000
"620","316580","1019",16374.000000000000000
"621","316580",1023/2,674.000000000000000
"622","316580",499/1,7825.000000000000000
"623","316580","515",1729.000000000000000
"624","316580",503/1,14626.000000000000000
"625","316580",509/1,1323.000000000000000
"626","316580","507",148.000000000000000
"627","316580","505",215.000000000000000
"628","316580","506",1832.000000000000000
"629","316580","1185",629.000000000000000
"630","316580",520/1,487.000000000000000
"631","316580","552",1640.000000000000000
"632","316580",520/5,391.000000000000000
"633","316580","519",295.000000000000000
"634","316580","518",2318.000000000000000
"635","316580","517",10705.000000000000000
"636","316580","501",17831.000000000000000
"637","316580",520/4,1008.000000000000000
"638","316580",520/3,903.000000000000000
"639","316580",533/1,1093.000000000000000
"640","316580","1018",647.000000000000000
"641","316580",503/2,1153.000000000000000
"642","316580",509/3,369.000000000000000
"643","316580","510",80.000000000000000
"644","316580","565",1151.000000000000000
"645","316580","555",842.000000000000000
"646","316580","542",1283.000000000000000
"647","316580","549",1128.000000000000000
"648","316580","537",442.000000000000000
"649","316580",526/2,31.000000000000000
"650","316580",525/2,34.000000000000000
"651","316580",525/1,1202.000000000000000
"652","316580",525/3,127.000000000000000
"653","316580",570/1,5176.000000000000000
"654","316580","558",4273.000000000000000
"655","316580",562/3,230.000000000000000
"656","316580","543",288.000000000000000
"657","316580","1182",2296.000000000000000
"658","316580",526/1,1144.000000000000000
"659","316580","527",333.000000000000000
"660","316580","1011",816.000000000000000
"661","316580","567",2613.000000000000000
"662","316580","528",495.000000000000000
"663","316580",523/3,1717.000000000000000
"664","316580",529/3,296.000000000000000
"665","316580",523/2,1360.000000000000000
"666","316580",525/4,21.000000000000000
"667","316580",562/2,646.000000000000000
"668","316580",523/1,2175.000000000000000
"669","316580",562/1,1082.000000000000000
"670","316580","556",616.000000000000000
"671","316580","530",753.000000000000000
"672","316580",521/2,917.000000000000000
"673","316580","560",362.000000000000000
"674","316580","566",163.000000000000000
"675","316580","554",2664.000000000000000
"676","316580","557",196.000000000000000
"677","316580","563",181.000000000000000
"678","316580","531",6829.000000000000000
